Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
"Good Boy, Bad Boy","Comedy, Romance",Two college students exchange their classes after the college management mixed their identical names by mistake.,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes
Life in a Metro,Drama,A group of Mumbai up-and-comers search for love and struggle for success in this ensemble drama that centers on an eager young call centre executive.,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Raqeeb,"Crime, Drama, Mystery, Romance, Thriller","We have an intelligent and rich bachelor, Remo, an aspiring entrepreneur. He has complete world with no women in it. Thanks to his mischievous friend Siddarth that he meets Siddarth's chat friend, and soon falls in love with her.They soon marry and their world is full of happiness, until Sunny comes in the picture, as the lover of Sophie, from her past. Along with him comes the dilemma of choosing love of Sunny over comfort given by her spouse Remo. A diabolical plan is hatched between Sunny and Sophie to kill Remo by natural means, by just threatening him by fake bullets, so that he dies in an asthmatic attack, so that no suspicion is raised. And Remo is killed by Sunny, not by asthma, but by the gun. The bullets were real, indeed. Are there any other meanings behind the scenes more dark than this?",No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
Ek Chalis Ki Last Local,"Action, Comedy",Comic thriller about two people who miss the last local train and how missing the train changes the course of their lives forever.,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Shootout at Lokhandwala,"Action, Crime, History","On a calm summer day in 1991, in the bustling Lokhandwala Complex, five criminals including Maya and Dilip were counting 70 lakhs in flat no. 32 B, when 286 policemen, headed by ACP Khan, took strategic positions around their building. A gunfire ensued and the entire nation witnessed the most talked about daylight encounter lasting 6 hours that transformed suburban Mumbai into a war zone.",No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
Cheeni Kum,"Romance, Drama","Buddhadev Gupta, a 64-year-old chef, falls in love with a 34-year-old software engineer, Nina. However, their future becomes uncertain when he discovers that her father is six years his junior.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Fool N Final,"Action, Comedy",A bunch of misfits and gangsters embarks on a journey to find a lost and stolen diamond.,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Journey Bombay to Goa,"Adventure, Comedy, Drama","Lal wants to start his tourist bus service and enlists the help of his brother-in-law, Das, who takes him to Chor Bazar, and for two Lakh Rupees assembles a hideous-looking bus to transport passengers from Bombay to Goa. Selling his tickets at a discount of 40 percent, Lal becomes the Conductor, while Das is the driver. Their passengers consist of Vetti Kutti Anna and his two bar dancer daughters, Deepa and Lajjo; writer Aditya Chopra; a runaway couple, Abdul Karim Telgi and Husna Khekeda; a diabetic patient, Charandas amongst others. On the way they pick up an elderly male, Harley Davidson, and Dr. Kushal Bhardwaj, as well as India's cricket team, and a four-person Nautanki group. After letting some passengers, including the cricket team and Harley, alight, they subsequently find Harley dying after meeting with an accident. Before dying, Harley tells them that 20 years ago he had robbed a fortune in diamonds and jewelry which he has hidden in Madgaon, and hands them a map. The ...",No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Ghutan,Horror,"Ravi Kapoor (Aryan Vaid) manages a company owned by his wife Catherine (Hina Rehman), whom he doesn't love and constantly cheats on. And he now has his eyes on his secretary, Priya (Pooja Bharti). When Catherine learns what's going on, she confronts him. In the heated argument that follows, Ravi hits her and believes she's dead. Together with his friend, Jaggi (Tarun Arora), they take her body to the graveyard. Just as they're about ready to put it in the grave they realize Catherine isn't dead so they bury her alive. Catherine's ghost then returns for revenge.",No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes
Red Swastik,"Crime, Drama, Thriller","The police hunt a femme fatale who, after intercourse, brutally murders her lovers and leaves behind a swastika calling card.",No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
The Train: Some Lines Shoulder Never Be Crossed...,"Action, Thriller","When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.",No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No
MP3: Mera Pehla Pehla Pyaar,"Romance, Drama","Delhi-based Rohan Sood lives a wealthy lifestyle along with his businessman dad, Shekhar, and mom, Renu. He attends St. Lawrence High School and is friendly with Vasu, Sudhir and Javed, and together the friends land in hot water virtually everyday. Then everything changes when he first sets eyes on heart-achingly beautiful new student..",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Religion,"Drama, History","The story is based in Banaras and is about a Hindu Priest Chaturvedi who follows the scriptures to practice Hindu religion. When a child is abandon by a woman and brought in his house by his daughter - after initial hesitation but due to requests from his wife - the family adapts the child; only to know after 4 years that the child is a Muslim. The family gives away the child and Chaturvedi engulfs himself in the purification process to cleanse his body, mind and soul due to contact with a Muslim soul. By the time, Chaturvedi thinks he is fully purified – the child reappears – seeking refuge, due to Hindu- Muslim riots. This is the time Chaturvedi finally realizes that the true religion is - religion where humans help humans – humanity.",No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
Jhoom Barabar Jhoom,"Drama, Romance","London, an overcrowded cafe, one table to share. Two strangers tell each other “how I met my fiancé” stories to kill time. Rikki met his fiance Anaida at the Ritz in Paris and Alvira met her prince charming Steve at Madame Tussauds",Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Chain Kulii Ki Main Kulii,"Comedy, Drama, Family, Fantasy","An orphan boy with dreams of finding a family and fame as a cricketer, finds a bat with magical powers and lands a spot in the Indian cricket team.",No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes
Aap Kaa Surroor,"Romance, Thriller","While on tour in Germany, a rock star falls in love with concert promoter. But when the police arrest him for murder, he must escape and prove his innocence to win back his beloved's heart.",Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes
Apne,Drama,"An ex-boxer Baldev Choudhary (Dharmendra) has had a stain in his boxing career. He wanted to wash it with his son Angad's (Sunny Deol) success, but times were hard and a financial crunch kept him from achieving this dream. Though Angad pulled through fine, Baldev never forgot who ruined his chance to wash the stain. An opportunity strikes Baldev in the form of a T.V. Show. He trains a local boy to get into this media hyped boxing show, but is ditched for a better coach at the last minute. Baldev's younger son Karan (Bobby Deol) has just launched his first music album. Realizing his father is in crises of his life, he gives up his dream of a musical career to get into the game of boxing.",No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes
Awarapan,"Action, Drama, Crime","A loyal henchman is ordered by his boss to keep an eye on his mistress, and trouble begins when he refuses to kill her.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Naqaab,"Crime, Romance, Thriller","The story revolves around the life of Sophia (Urvashi Sharma) who lives in Goa. When she is stalked and then attacked by a rapist named Rakesh, Sophia re-locates to Dubai. Here she rents a room in a villa near Jumeirah Beach, owned by wealthy star Karan Oberoi (Bobby Deol). Six months later he proposes to her, and she accepts. Shortly before the marriage, she meets with an unemployed actor, Vicky Malhotra (Akshay Khanna), and is attracted to him, but decides to go ahead and marry Karan. At the altar, she changes her mind, ditches him and decides to move in with Vicky. But things take a turn for the worse.",No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
Partner,"Comedy, Romance","A 'Love Guru' assists other males, woos a widowed single mother, but becomes embroiled in controversies.",Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Frozen,"Drama, Horror","This is a touching and somber journey of Lasya, who lives with her father Karma and younger brother Chomo in a remote village in the Himalayas. Pristine snow capped mountains surround their tiny hamlet and barren harsh land stretches for miles into nowhere. One day the army moves in, settles a hundred yards across their doorstep. The last bit of comfort the family draws from their familiar surroundings changes into a harsh ceaseless irreversible conflict. The film depicts the life of this family whose dream like existence is interrupted by inevitable odds, one after the other.",No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Fear,Horror,"In director Vikram Bhatt's Bollywood spook fest, a supernatural spirit terrorizes a woman and forces her to confront the demons of her past.",No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Kya Love Story Hai,"Comedy, Drama, Romance","Kajal has always dreamt of a particular guy in her life. Arjun is a good-for-nothing type of a guy; he is not ambitious or serious about his work. So when she actually comes to know him more and more, she realizes what she wanted in life was not right.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
"Gandhi, My Father","Drama, History","With Gandhi My Father, producer Anil Kapoor and director Feroz Abbas Khan have shed light onto Gandhi the person, rather than Gandhi the icon. Using Gandhi’s political career as a canvas, the film paints a picture of his intricate, complex, and strained relationship with his son Harilal Gandhi.",No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes
Chak De! India,Drama,"A team of rag-tag girls with their own agenda form Team India competing for international fame in field hockey. Their coach, the ex-men's Indian National team captain, returns from a life of shame after being unjustly accused of match fixing in his last match. Can he give the girls the motivation required to win, while dealing with the shadows of his own past?",No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Buddha Mar Gaya,Comedy,"Laxmikant Kabadiya and his twin-sister, Prerna, started as mere beggars near Dadar Railway Station, and with the assistance of Vidyut Baba, they moved to collecting garbage, and recyclables, established their own recycling business, slowly acquired wealth and became multi-millionaires. Laxmikant went on to get married and sired two sons, Sameer and Ranjeet, who, in turn, went on to get married to Anju and Shruti. While Ranjeet has two daughters, Sanjana and Namrata, Sameer has one son, Pawan. Vidyut Baba, a Bi-sexual, is now their family Guru, and they have a trusted family servant named Ramu. The Kabadia family is now ready to launch it's first Public Offering, which will generate Crores of Rupees. The entire family is all set to enjoy this new-found wealth when they find out that while being intimate with a sexy, struggling actress, Kim, widower Laxmikant has passed away. The entire family know that this will ruin their future plans and decide to keep his death a secret. They ..",No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Heyy Babyy,"Comedy, Drama, Romance",Three womanisers find a baby left at their doorstep. Chaos ensues as they try to contact their former girlfriends to determine who is the father amongst them.,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Dhokha,"Drama, Action, Romance, Thriller","Post-September 11, 2001, Zaid Ahmed Khan lives a wealthy lifestyle in Mumbai and resides in an apartment at Shanti Kutir, Juhu Tara Road, Mumbai, and works as an Assistant Commissioner of Police. One day terrorists strike at a club, killing 20 people, &amp; critically injuring several others. The Police are put on alert, and Zaid is summoned to Police Headquarters to identify a body. To his shock the body turns out to be that of Sarha, his wife - who was not a victim but was a suicide-bomber. While trying to put his life together, Zaid comes across evidence that Sarha may have had an hand in the killings, and thus intrigued he decides to travel to Nasik to find out what really happened, whether his devout Islamic wife was really a terrorist or the victim of a deep-rooted conspiracy.",No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes
Ram Gopal Varma Ki Aag,"Action, Comedy, Crime","A pair of bodyguards for a politician find their positions under threat when their employer is implicated in a scandal. Fleeing to Mumbai they find work with a gangster, but also find that the police are onto them.",No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes
My Own Sky,"Drama, Science Fiction","In order to make their autistic child a genius, a couple injects a drug into his body, only to face drastic consequences later.",No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Hungama in Dubai,Comedy,Two local thieves and cheats Ajju &amp; Mujju come out of jail and are searching for their new Victim. They go to a nearby hotel owned by Nawab Sahb and their journey begins to Dubai.,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Darling,"Drama, Horror, Romance","A man cheats on his wife with his secretary, but things take a haunting shift after he accidentally kills his mistress.",No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No
Dhamaal,"Comedy, Action, Adventure","Four friends meet an underworld don who, on his deathbed, clues them in on hidden treasure buried in Goa. The group race towards Goa, not knowing that their plans will soon be foiled, albeit hilariously, by a police officer, who is also after the money.",No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Positive,"Drama, Family","Years ago, when Abhijit was a boy, he learned his father was involved in extramarital relationships. He kept it secret for several years, until tension rose too high and he left for Cape Town. Time passes and Abhijit is called by his mother. His father had contracted the AIDS virus. It was up to Abhijit to be the bigger person to comfort his father, even after all he had done, in his last moments of life.",No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes
Nanhe Jaisalmer: A Dream Come True,"Family, Drama",A childhood encounter with actor Bobby Deol leaves an indelible mark on the mind of Nanhe who idolizes the actor.,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Amal,Drama,"Autorickshaw driver Amal is content with the small, but vital, role he serves - driving customers around New Delhi as quickly and safely as possible. But his sense of duty is tested by an eccentric, aging billionaire, who, moved by Amal's humility, bequeaths him his entire estate before passing away. With only one month to discover and claim the inheritance, Amal's struggles with duty and wealth are threatened by all those around him - from a young injured beggar girl and a lovely store merchant, to the danger of the old man's upper-caste friends and siblings, all seeking to claim their share of the riches.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes
Aggar,"Drama, Romance, Thriller","With strong suspicions that her husband is cheating on her, successful businesswoman Janvi begins an affair with her co-worker Aryan. But when Janvi decides that she's done fooling around, she learns her new lover has other ideas. Because Aryan doesn't want the relationship to end, he's willing to completely destroy the lives of Janvi and her husband to have his way.",No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
Dhol,Comedy,"Pankaj , Gautam, Sameer and Martand are roommates in Pune who are bound together by their ambition to make it big in life with the least effort possible. Each one tries his hand at finding a shortcut to success but ends up being in even deeper trouble. Things get worse when the four decide to take a loan at high interest which they are unable to pay back. They believe that the only way to get rich without working hard is to marry the wealthy girl in their neighborhood and each of the four friends embark on their individual plans to woo her.",No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes
Manorama Six Feet Under,"Thriller, Crime, Mystery, Drama","Satyaveer is an engineer suspended for allegedly accepting a bribe. However, Satyaveer, proud author of a tawdry and thoroughly unsuccessful crime novel, is approached by a woman named Manorama to investigate her husband, whom she suspects of having an affair.",No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Dil Dosti Etc,Drama,"Two college boys from diverse backgrounds believe that since time is on their side, anything is possible. Consequently, their arrogance leads them to challenge each other to prove their efficiencies.",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Johnny Gaddaar,"Crime, Drama, Mystery, Thriller","Five men get involved in a drug deal set up by a corrupt police officer. But the plan goes awry when Vikram, the youngest member, decides to discreetly steal the money.",No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes
Chhodon Naa Yaar,Thriller,"With a pair of willing friends in tow, a thrill-seeking student from Delhi Mass Com College (Jimmy Shergill) embarks on an ambitious shoot for his final film project, choosing to explore a local legend in the northern hills of India. Both his professor (Ahmed Khan) and his worried girlfriend (Kim Sharma) advise him against it. But it's too late to heed their warnings once he's halfway into the jungle and surrounded by ghosts of the past.",No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No
Go,"Crime, Romance","Mrs. Dave does not approve of her daughter, Vasundhara's next-door boyfriend, Abhay Narula, and arranges her marriage with Carson Gharodia. In protest, she elopes with Abhay on his motorbike. Enroute to Goa they run out of petrol and hitch a ride from a male named Bihari. It is this ride that will turn their lives upside down and pit them against the Police, goons, and a male named Jagtap Tiwari who thinks that they are gold and cocaine smugglers.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
Maamu Tension Nai Leneka,Comedy,"""MAAMU TENSION NAI LENEKA"" A HINDI FEATURE FILM STARRING SUMEET VYAS, BHARAT JHA, ALI ASGAR, YUDHVIR",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Laaga Chunari Mein Daag,"Drama, Romance","Badki and Chutki live a fun-filled life in Banaras, playing pranks, sneaking off to see a forbidden mujra, and soaking up all the excitement that goes on the ghats of the Ganga. Badki is aware that the family is in dire straits, but she and her mother protect Chutki at all costs. When things get worse, Badki decides to go to Mumbai and seek a living for the family.",No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes
Bhool Bhulaiyaa,"Comedy, Horror, Thriller",An NRI couple return to India and decide to stay in their ancestral palace while disregarding warnings about a curse and paranormal forces. Soon inexplicable events start happening which forces him to call an eccentric psychiatrist to help solve the mystery.,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No
Speed,"Thriller, Action","Action / Foreign / Suspense - Sandeep Malhotra comes to London to convince his girlfriend to give him another chance. Meanwhile, Siddharth, an undercover MI5 agent, receives a CD, which contains the recording of his kidnapped wife, Richa, and is asked to follow the instructions. *Subtitles not available for this feature*",No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
Mumbai Salsa,"Drama, Comedy, Romance",Four pairs who meet accidentally in a Mumbai bar called Mumbai Salsa and get hooked on each other for life. The film captures the urban qualities of life and love.,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes
No Smoking,"Thriller, Drama",A heavily addicted smoker is unprepared for the true price he must pay when he asks a guru's help to kick the habit.,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes
Jab We Met,"Drama, Comedy, Romance",A depressed wealthy businessman and a spunky carefree young woman embark on an unexpected journey that changes their lives.,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Mahek,Family,"12 yr old Mahek wants to be the best in everything, but she doesn't know what she's best at. To complicate things further, an old magic-less modern fairy walks into her life. Will Mahek ever realize her true strength?",No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Saawariya,"Drama, Music, Romance, Family","Two souls arrive in a small town, one on vacation, the other to meet a lover. They spend the most magical dream-like days of their lives in that town... with each other.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
Om Shanti Om,"Comedy, Thriller, Drama","Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.",No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
Tsunami 81,Drama,"A heart rendering and subtly humorous saga based on the devastating 2004 tragedy which claimed millions. The point that is driven home is, ""disaster's create destruction but sometimes binds too"".",No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Fun aur Masti,Comedy,A Local unemployed and notorious youth locks his horns with the Comic local gangster Gullu.,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Dhan Dhana Dhan Goal,Drama,A bankrupt soccer team must win the championship or break apart.,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Gauri The Unborn,"Drama, Horror, Thriller","Gauri: The Unborn is a 2007 Hindi film directed by Akku Akbar, starring Atul Kulkarni and Rituparna Sen Gupta. It received great critical acclaim, but commercially was an average grosser. The film was produced by Shogun Films. [1]  It was remade as a Malayalam film, Kana Kanmani (2009) directed by Akku Akbar.",No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Aaja Nachle,"Romance, Drama","Dia is a divorced mom living in New York and must go back to India after she receives news that her guru is on his death bed. When she arrives she finds he is gone and has left her the responsibility of saving and reviving the Ajanta Theater where she used to dance. The problem is that the political officers want it torn down and turned into a shopping mall. The storyline follows Dia and her challenge to stand up for what she believes in and fight the cause to the end, while trying to win back the love and support of the people of the town whom she walked out on ten years prior.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
Khoya Khoya Chand,"Drama, Romance","Circa 1960s Lucknow-based author Zafar Ali Naqvi, who has issues with his father and his four wives, including the 4th one who lusts after him, re-locates to Bombay, starts writing for movies, and falls in love with starlet Nikhat Sheikh. Both decide to get married but cancel the plans at the last minute after she finds out that her mother and her live-in boyfriend...",Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes
Dus Kahaniyaan,Drama,"An anthology of ten short films dealing with diverse subjects such as infidelity, companionship, lust and a spectrum of human emotions.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
68 Pages,Drama,"Coming from a country like India that is still in denial, where being HIV+ is still a curse, '68 Pages' rips open the underbelly of its society to reveal how it stigmatizes and shuns those who are HIV+ or even those who just want to be what they are. Through 68 Pages of a counselors diary, we see the stories of Paayal, a sex worker; Nishit, an ID user; Kiran, a gay man and Umrao, a transsexual bar dancer - their stories of pain and fear, humiliation and rejection - not only by the society, but even by their loved ones.",No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Strangers,"Thriller, Drama, Romance","An overnight train journey, from London into France, business class, is comfortable and expensive. The premise where two of the film's protagonists,'strangers' to each other, meet, talk and decide to eliminate each other's spouses to alleviate themselves of the hell they are trapped in.",No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes
Welcome,"Comedy, Romance, Crime, Family","Dubai-based criminal don Uday takes it upon himself to try and get his half-sister Sanjana married - in vain, as no one wants to be associated with a crime family. Uday's associate and best friend Majnu finds a well to do, nice young man, Rajiv, who lives with his maternal uncle and aunt - Dr. and Mrs. Ghunghroo. Through extortion he compels the Ghunghroos to accept this matrimonial alliance. With no escape from this predicament, the wedding is planned, with hilarious consequences.",No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
Like Stars on Earth,Drama,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Return Of Hanuman,"Animation, Family, Action, Adventure","A young boy, Minku, ridiculed by his friends, begs the gods to send him down to Earth, and his wish is granted.",No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No
8 PM: A Murder Mystery,"Crime, Mystery, Thriller",A cop investigates about a serial killer who follows a pattern of killing a fashion model at 8 PM.,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Good Night,"Comedy, Drama, Romance","Madan Mohan Khullar, a lover of old Hindi films and music, has decided to start his life afresh. However, to begin a new day, one has to pass through a long night, and so must he.",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
My Name Is Anthony Gonsalves,"Drama, Comedy","Riya lives a middle-classed lifestyle in Mumbai and works as an Assistant Director for a movie producer, Bharucha. After the passing of her mother, she is consoled by a young man, Anthony Gonsalves, in the church graveyard. He introduces himself as the son of Jeffrey, who passed away during 1986, and works as a waiter in Jimmy's Pub...",No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes
Halla Bol,Drama,Ashfaque (Ajay Devgan) is a small town boy aspiring to be a film star in the Hindi film industry. He joins a street theatre group run by a reformed dacoit Sidhu (Pankaj Kapur) who uses street theatre as a medium to bring about an awakening in the masses. Ashfaque struggles to give a creative vent to the actor in him in order to realize his dreams.,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Tulsi: Mathrudevobhava,Drama,"Tulsi tells the story of Tulsi, married to a drunkard Suraj. The couple is blessed with four kids. One evening, while Suraj is away, his friend tries to molest Tulsi. When Suraj gets to know of it, he beats Yashpal black and blue. A furious Yashpal swears revenge. In the meanwhile, Tulsi is diagnosed with blood cancer. Yashpal attacks Suraj and murders him. A distraught Tulsi now decides to get her kids adopted by different families before she's gone.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Sunday,"Comedy, Thriller","A dead body found floating in a lake… Unexplained scratch marks on her neck… Supari killers out to kill her… A taxi driver who yells ‘bhoot, bhoot’ every time he sees her...",No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No
Mithya,"Drama, Comedy, Crime, Thriller",A two-bit actor faces challenges after he is asked by Police to impersonate a look-alike gangster.,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Midnight Lost + Found,"Drama, Romance","Arvind spends his nights reading Batman comics behind iron bars at his lonely chemist shop in Bombay. A prostitute stops every night to buy condoms, until their conversations help Arvind break free and find the superhero within.",No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
Black & White,"Action, Drama","Rajan Mathur (Anil Kapoor) is a Professor in Urdu literature in Dr. Zakir Hussain's College. He resides in Chandni Chowk with his activist wife, Roma Mathur (Shefali Shah). Professor Mathur comes across a young boy called Numair Qazi (Anurag Sinha) who introduces himself as a victim of communal riots in Gujarat.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
Udedh Bun,"Drama, Short",Ashu is leaving his boyhood behind and growing up into a man. His mother is dying. A boy at school torments him. He is attracted to his neighbour’s wife. He must reinvent himself.,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Jodhaa Akbar,"Romance, History, Drama",A sixteenth century love story about a marriage of alliance that gave birth to true love between a Mughal emperor and a Rajput princess.,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes
Migration,Drama,"One of a four-film series on the AIDS epidemic in India, this film examines the virus as Indian society's great class leveler, following its transmission through interweaving stories that link urban and rural India.",No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Race,"Drama, Action, Thriller, Crime",The plot thickens around two horse-racing competitors when three beautiful women come into their lives and a murder is committed.,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No
Lovesongs,Drama,"Kolkata-based Rohan Mitra lives with his widowed maternal grandmother, Mridula Chatterjee. He is an aspiring advocate who will soon be taking up his first assignment with an established lawyer and is attracted to Tara. Through discussions with his grandmother, he finds out that his parents' relationship was far from harmonious - with his mother, Palaash, getting into arguments with her husband, Dev, and frequently asking Mridula to intervene, and even moving out several times - with Dev threatening to move the courts to take possession of Rohan.",No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
One Two Three,Comedy,"Laxminarayan lives a poor lifestyle in Mumbai along with his widowed mother, Kanta, who wants him to be a successful gangster like Batlabhai, and would like him to kill a few people, make enough money, then get married to Khujli's daughter, Meena. In order to fulfill his mother's wish, Laxminarayan accepts a contract to kill D'Mello Yadav, a Pondi-based gangster, who has stolen a diamond from Batl",No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes
Bhram: An Illusion,"Drama, Romance, Mystery",A substance-abusing model believes that her wealthy boyfriend's brother molested and killer her sister.,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Shaurya,"Drama, Thriller","Maj. Siddhant Chaudhary, an Indian Army lawyer, attempts to defend Capt. Javed Khan who is accused of killing a decorated officer. The problem is that Khan does not wish to be defended and freely admits to his crime.",No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No
U Me Aur Hum,"Romance, Comedy, Drama","The movie starts with Ajay (Ajay Devgan) telling a boy that he should make his move on a girl he likes. The boy (who is his son) tells him that if he can go woo another older lady, he will tell the girl he likes about his feelings.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Krazzy 4,"Comedy, Crime",4 mental patients formulate the plan to rescue their kidnapped doctor and teach the kidnappers a lesson.,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
Yaar Meri Zindagi,"Drama, Family, Musical, Romance","A story of two friends, one is Thakur and the other a doctor. A journey how two friends egos clash and they turn foes.",No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No
