title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Maine Dil Tujhko Diya,"['Action', ' Drama', ' Romance']","Ayesha is the elder daughter of rich business tycoon Mr. Verma, an overprotective father who's kept his two daughters away from modern influences. Ayesha goes to college and comes in contact with Ajay, the leader of a group called Aryans, responsible for handling the security at the college. Ajay's soft-spoken nature and humble, down-to-earth attitude soon make Ayesha his most ardent admirer.",2002-08-23,"['Sohail Khan', 'Azim Shaikh']",Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0326600,"Sohail Khan, Sanjay Dutt, Sameera Reddy",No,Yes,No
Agni Varsha,"['Drama', ' Fantasy']","Based on an incident from the Mahabharata and also made as a play on a Girish Karnad titled Fire in the Rain. The film features Amitabh Bachchan in a cameo appearance as Lord Indra. Jackie Shroff plays the main lead in the film as Puravasu the head priest, Raveena playing the role of his unfaithful wife in love with Yavakri. Nagarjuna played Yavakri the priest's jealous rival and Prabhudeva as a demon who kills Yavakri. While Milind Soman plays the younger brother of Jackie Shroff as Aravasu, the female lead opposite Milind is played by Sonali Kulkarni.",2002-08-30,['Arjun Sajnani'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0326722,"Kumar Iyengar, Raveena Tandon, Jackie Shroff",Yes,No,No
Nishad,['Drama'],"A mistaken call from a young boy who is trying to reach his mother disrupts the peace of a couple, Gopi and Sati.",2002-09-01,['Shaji N. Karun'],Yes,No,No,No,No,Yes,No,No,No,No,tt0323415,"Archana, Rajit Kapoor, Geshe Thupten-Phelgyei",No,No,No
Dil Hai Tumhaara,"['Drama', ' Romance']","Some twenty years ago, Sarita promised to raise her husband's love child, Shalu together with their own daughter, Nimmi. The girls grow up as the best of friends but Sarita has never been able to forgive Shalu for her background. It doesn't make it better when she sees Shalu getting close to the man Nimmi is also in love with.",2002-09-05,['Kundan Shah'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0328998,"Preity G Zinta, Rekha, Arjun Rampal",No,No,No
Ek Chhotisi Love Story,"['Romance', ' Drama']","Ek Chhotisi Love Story (English: One Small Love Story) is a 2002 romantic film directed by Shashilal K. Nair. The film is an adaptation of Krzysztof Kieślowski's A Short Film About Love (Krótki film o miłości 1988). It is a story of 15-year-old Aditya (Aditya Seal) and his voyeuristic love of his nameless neighbor (Manisha Koirala) featuring bathroom masturbation scenes — which are virtually unseen in Bollywood. Soon Aditya’s hobby turns into infatuation as he begins to follow her movements closely. He feels sexually drawn towards her when he sees her coming out of her bath, her hair dripping wet. He feels jealous when he catches her making love with her boyfriend (Ranvir Shorey).  Manisha is unaware of her secret admirer. When the boy musters up the courage and speaks his heart to her, she takes it in her stride and gives him a little teaser on adolescent love.",2002-09-06,['Shashilal K. Nair'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0331479,"Manisha Koirala, Saroj Bhargava, Jesse Randhawa",No,No,No
Marshal,['Action'],"After the traumatic death of his brother, Inspector Ritesh finds that his niece has suffered a trauma and is unable to speak, while his widowed mother and sister-in-law are devastated by his sudden death. Then while apprehending some goons he finds himself surrounded by them and there is no way of calling for help. It is then a man named Marshal shows up and rescues him. Miraculously his niece also starts to speak. Ritesh finds this a good omen for his family and asks Marshal to stay on in their house, and even proposes that he marry his sister-in-law. What Ritesh does not know is that Marshal is a hired assassin and hit-man, and his next target is none other than Ritesh himself.",2002-09-13,['Manish R. Khandelwal'],No,No,Yes,No,No,Yes,No,No,No,No,tt0483282,"Liyaqat Bari, Mithun Chakraborty, Ishrat Ali",Yes,Yes,No
Sur: The Melody of Life,['Drama'],"Tina Marie D'Silva lives a middle-class lifestyle in a small town in India along. One day renowned singer, Vikramaditya Singh, hears her voice and enrolls her in his prestigious school. After a few clashes, Tina manages to amaze everyone with her talents - so much so that she is invited to sing along with Vikramaditya himself. On the day of the recording, Tina fails to appear. An angered Vikramaditya decides to have nothing to do with her. He subsequently changes his mind, goes to visit her, and finds out that she is now a nun. After many attempts he succeeds in convincing her to return to sing with him at his very first live concert to which she agrees. On the day of the concert Tina is all set to sing, but this time Vikramaditya fails to show. Watch what impact this has on Tina and the concert itself.",2002-09-13,['Tanuja Chandra'],Yes,No,No,No,No,Yes,No,No,No,No,tt0332766,"Simone Singh, Achint Kaur, Lucky Ali",No,No,No
Shakti: The Power,"['Action', ' Drama']",A couple visits the husband's family in India and finds itself in the middle of a fratricidal battle.,2002-09-20,['Krishna Vamsi'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0331639,"Karisma Kapoor, Nana Patekar, Sanjay Kapoor",No,No,No
Darwaza,['Horror'],"A demon possesses a man, and uses him to kill women.",2002-09-27,['Kanti Shah'],No,No,Yes,No,No,Yes,No,No,No,No,tt0488287,"Anil Nagrath, Arun Mathur, Amit Pachori",No,No,No
Road,['Thriller'],"Arvind Chauhan  and Lakhsmi are in love with each other. Lakhsmi's dad, a senior police inspector, hates Arvind, and so Arvind and Lakshmi decide to elope",2002-09-27,['Rajat Mukherjee'],No,No,No,No,No,Yes,No,No,No,No,tt0315632,"Manoj Bajpayee, Vivek Oberoi, Antara Mali",No,No,No
Zindagi Khoobsoorat Hai,"['Drama', ' Family']","Murad Hussein and Gul Baloch have been enemies for years. Murad would like to propose a truce so that the two families become friends again, and for this occasion he has chosen to marry his brother to Gul's sister. The wedding is arranged and Gul and his family are accordingly invited. Gul does attend the wedding, bless the couple, and when night came, he and his accomplices brutally kill every male in the household, including his very own brother-in-law. Gul's sister loses her sanity, and is taken back home, where he lives with his daughter...",2002-10-04,['Manoj Punj'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0340464,"Gurdas Maan, Tabu, Ashish Vidyarthi",No,No,No
Yeh Kya Ho Raha Hai,"['Romance', ' Comedy']","Four friends fall in love, providing a catalyst as they enter into manhood and discover the beautiful wiles that women possess -- their soul and their power to love and nurture. Yeh Kya Ho Raha Hai is a film where everything that occurs is completely unexpected, and just when you think you have things figured out … that's when you should think again!",2002-10-11,['Hansal Mehta'],No,Yes,No,Yes,No,Yes,No,No,No,No,tt0338566,"Yash Pandit, Vaibhav Jhalani, Prashant Chianani",No,No,No
Hathyar,"['Action', ' Crime', ' Drama', ' Thriller']","Hathyar is a narrative which probes into the household of Raghunath, a dreaded gangster. His bereaved son Rohit has to face a lot of flak from the outside world, repeatedly reminding him of the stigma attached to his family because of his father's past. Just like his father, circumstances force Rohit to become a gangster and he gets the name Boxer Bhai. Rohit has weaknesses, he cannot stand any woman being called a prostitute, because his mom, Sonu was one, and he has fallen hard for a married woman, Gauri, who is enduring a marriage with a physically abusive spouse. Rohit snatches her out of this abusive relationships and remarries her. But Rohit's problems are far from over. There is a change in the political scenario and Rohit does not find support from any godfather. He is ordered to be arrested - dead or alive.",2002-10-18,['Mahesh Manjrekar'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0337633,"Shilpa Shetty Kundra, Sanjay Dutt, Sharad S. Kapoor",No,Yes,No
Dil Vil Pyar Vyar,"['Romance', ' Drama']","Three friends, who have known each other for a long time, decide to enter a singing and musical competition. The events that lead to this competition, and their personal lives, including their romantic ties, is the theme of this movie. Included are popular Burman Movie songs, a delight to hear any time.",2002-10-18,['Ananth Mahadevan'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0335044,"Jimmy Shergill, Madhavan, Sanjay Suri",No,No,No
Deewangee,"['Crime', ' Drama', ' Mystery', ' Thriller', ' Romance']","Hired by a singer to defend her friend, who has been accused of murder, a formidable lawyer learns that the man he represents may not be innocent.",2002-10-25,['Anees Bazmee'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0337971,"Urmila Matondkar, Ajay Devgn, Akshaye Khanna",Yes,No,No
Annarth,"['Action', ' Thriller']","Jimmy, a crime boss, owes allegiance to his elder brother, Raghav, and introduces his friends, Bandya and Sameer, into the gang. Soon, Bandya is killed and Jimmy sets out to avenge his death.",2002-11-01,['Ravi Dewan'],No,No,Yes,No,No,Yes,No,No,No,No,tt0338721,"Sanjay Dutt, Suniel Shetty, Ashutosh Rana",No,Yes,No
Waah! Tera Kya Kehna,['Comedy'],"Kishan Oberoi has three sons - Dilip, Ashish, and Raj. While Dilip and Ashish are married, Raj (Govinda) is in love with Meena. Kishan does not trust his two elder sons, but trusts Raj, and Raj in turn, is devoted to his dad. One day Raj loses his mind in an accident, and the two elder brothers begin a conspiracy that includes the death of their dad, and the disinheritance of their brother Raj, by declaring him mentally incompetent. Raj mysteriously disappears, and Kishan falls off a building; Murari, a greedy employee of the Oberoi family, brings in a look-alike of Raj, namely Banne Khan (also Govinda), and his wife, Salma Khan, who poses as his nurse, so that Banne Khan and Murari both rule over the Oberoi family, and reap the benefits.",2002-11-01,['Manoj Agrawal'],No,No,No,Yes,No,Yes,No,No,No,No,tt0339878,"Preeti Jhangiani, Raveena Tandon, Govinda",Yes,No,No
Chalo Ishq Ladaaye,"['Action', ' Comedy', ' Romance']","Popular but lonely Bollywood actress, Rani, lives a fairly isolated life, through publicly she is thronged by fans, and has taken to drinking alcohol in a big way. Thus intoxicated she runs her vehicle into a young man named Pappu, who suffers minor injuries. He recognizes her, and tells her that he is her number one fan, and will do anything for her. She wants him to kill her double-timing boyfriend, Rahul. He agrees to do so, provided she kills his overbearing, aged grandmother, to which she agrees. After Pappu completes his gruesome task, he meets with Rani, only to be told that she does not recognize him, but when presented with proof, she relents and agrees to fulfill her part of this trade.",2002-11-07,['Aziz Sejawal'],No,Yes,Yes,Yes,No,Yes,No,No,No,No,tt0348824,"Rani Mukerji, Kader Khan, Govinda",Yes,No,No
Hum Pyar Tumhi Se Kar Baithe,"['Musical', ' Romance']","Mamta leaves her husband, Vikas when she realizes that he has criminal associates, and thereby spare their son, Vishwas, from any bad influence. Mamta's luggage is stolen at the railway station by a mother and son team of thieves, who are subsequently run over by a train, leaving the police to conclude from the badly mutilated bodies, that they are those of Mamta and Vishwas. Vikas is grief stricken. Shortly thereafter he has to look after the only daughter, Priya, of two friends, after his associates kill them. Years later, Priya, has grown up.",2002-11-08,['Mohan Singh Rathor'],No,Yes,No,No,No,Yes,No,No,No,No,tt0396057,"Tina Rana, Sachin Khedekar, Jugal Hansraj",No,No,No
Badhaai Ho Badhaai,"['Comedy', ' Music', ' Drama']","The D'Souza and the Chaddha families are neighbors and have been good friends for as long as they can remember, and despite their diverse religion and cultural beliefs, celebrate Diwali and...",2002-11-08,['Satish Kaushik'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt0325041,"S.K. Batra, Anil Kapoor, Rana Jung Bahadur",No,No,No
Jeena Sirf Merre Liye,"['Action', ' Drama']","Pinky alias Pooja Malhotra (Kareena Kapoor) and Karan (Tusshar Kapoor) are childhood sweethearts. During this time they exchange vows that they will live for each other only. They separate shortly after but they do not forget their vows. Pooja frantically searches for her sweetheart, but to no avail. She finally decides to write her own story in a the form of a love story. This story turns out to be very popular, and Pooja does get to meet Karan, only to find out that he has a girlfriend by the name of Seema.",2002-11-20,['Talat Jani'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0337652,"Tusshar Kapoor, Mallika Sherawat, Kareena Kapoor",No,No,No
Makdee,"['Family', ' Horror', ' Fantasy']","One half of an identical set of twins, the mischievous Chunni is known in her hometown for the pranks she plays, notably on her father, the schoolteacher and the village butcher. To get out of trouble, Chunni often impersonates her sister Munni and makes others look a fool.",2002-11-22,['Vishal Bhardwaj'],No,No,Yes,Yes,No,Yes,No,No,No,No,tt0341455,"Shweta Basu Prasad, Makrand Deshpande, Shabana Azmi",No,No,No
Karz,"['Action', ' Crime', ' Drama']","Suraj is the adopted son of a wealthy hotel owner who is haunted by memories of his birth mother's rejection.  He befriends Raja not knowing that he is in fact his younger brother and even gives up his love Sapna to Raja.  Through Raja he is reunited with his birth mother and it is revealed that she was raped by a criminal who fathered Suraj.  After many fights, flying bodies, car chases, and broken glass, Suraj eventually exacts revenge on his birth father and dies happily in his mother's arms.",2002-12-06,['Harry Baweja'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0342624,"Shilpa Shetty Kundra, Suniel Shetty, Sunny Deol",No,No,No
Guru Mahaaguru,"['Action', ' Crime']","After literally being torn apart as children, brothers Ajay (Mukul Dev) and Gautam (Ashutosh Rana) are leading separate adult lives but are both in search of the same thing: their father's killer. Each believes he's found the culprit, but what they don't realize is that their target is really an undercover cop who's infiltrated the criminal underworld to find the murderer. Om Puri and Naseeruddin Shah also star.",2002-12-13,['T.L.V. Prasad'],No,No,Yes,No,No,Yes,No,No,No,No,tt0440446,"Ashok Kumar Beniwal, Kishore Bhanushali, Beena Banerjee",No,No,Yes
Kaante,"['Crime', ' Thriller', ' Action']","After being wrongfully detained and humiliated, six men meet in a lock-up. In a quest to seek revenge, they make the perfect plan of robbing the bank where all the police officers' salaries get deposited.",2002-12-20,['Sanjay Gupta'],No,No,Yes,No,No,Yes,No,No,No,No,tt0294662,"Amitabh Bachchan, Suniel Shetty, Sanjay Dutt",No,Yes,No
The Wound,"['Action', ' Crime', ' Drama']","Jogi Thakur (Govind Namdev) is the power behind the ruling party ministers in Bombay City, and not only rules over the underworld, but also over the law-makers; the Home Minister (Anant Jog); the Police Commissioner (Virendra Saxena), and police officers all over the city. The Police of the City are on the look out for an escaped convict Tanya (Seema Biswas). The police are assisted by Sarja (Mita Vasisht), who is the Warden of the prison that Tanya broke out from. Tanya has confessed to killing her husband, Jayant (Pankay Berry). At every encounter with Tanya, in prison or out, Sarja severely and mercilessly beats up Tanya to a pulp, but Tanya keeps eluding the law, and with the help of Journalist Pooja (Gulrez), her friends Rahul (Rahul Bhatt) and Vicky (Deepak Tijori) hopes to unravel the mystery behind the death of her husband Jayant (Pankaj Berry); find her missing sister-in-law Guddi (Gayatri); and seek justice.",2002-12-27,['Kumar Jay'],Yes,No,Yes,No,No,Yes,No,No,No,No,tt0391187,"Pankaj Berry, Rahul Bhat, Seema Biswas",No,No,No
Banana Brothers,['Comedy'],Two East Indian emigrants try to start a business in America.,2003-01-01,['Girija Shankar'],No,No,No,Yes,No,Yes,No,No,No,No,tt0337837,"Anupam Kher, Gursewak Mann, Seema Malhar",No,No,No
Oops!,['Drama'],"Jagan, Akash and Nisha belong to a dance club. Their ambition is to become big in the dancing profession. Jagan and Nisha are lovers. Jagan is a middle-class man who dreams of becoming a millionaire over night. In the process he meets an actress named Sonia who offers him a ridiculously large amount of money for a 3 hours strip tease show to be done among a group of ten high society women who are bored with their husbands. Jagan asks his best buddy Akash to accompany him in the job. That show becomes a big hit and Jagan gets another call from Sonia for another strip show. Akash, however, is not comfortable with that profession. Jagan does the solo strip tease. There he meets a sexy older women named Savitha who has a secret identity that will end up compromising Jagan's world.  - Written by gavin",2003-01-01,['Deepak Tijori'],Yes,No,No,No,No,Yes,No,No,No,No,tt0354786,"Adyasha, Vikas Sethi, Kiran Jhangiani",No,No,No
Nayee Padosan,['Comedy'],"Three young men, who are all of marriageable age, gets their hopes up on marriage, when a beautiful young woman comes to live in their neighborhood. Her name is Pooja Iyengar. All three of them try a hand at romancing her, and only one succeeds, that being Raju. The only problem is that while Raju is Gujerati, Pooja is Madrasi from the Iyengar community, and her dad, Shashtri, will not permit her to marry anyone outside his community, leave alone a Gujerati, and proceeds to get Pooja to get married to Prabhu, a young man from the Iyengar community, with hilarious results.",2003-01-01,['B.H. Tharun Kumar'],No,No,No,Yes,No,Yes,No,No,No,No,tt0362902,"Vikas Kalantri, Aslam Khan, Anuj Sawhney",No,No,No
Ek Alag Mausam,['Drama'],A movie about an Indian woman who finds out that she is HIV positive.,2003-01-01,['K.P. Sasi'],Yes,No,No,No,No,Yes,No,No,No,No,tt0832297,"Rajit Kapoor, Anupam Kher, Nandita Das",No,No,No
Bas Yun Hi,"['Music', ' Comedy', ' Romance']","Comedy - Aditya is a young man who does not believe in astrology, but when a friend makes his astrological chart and explains to him that he is fated to marry a woman whose name begins with the letter V, Aditya decides to see for himself if this is true. *Subtitles not available for this feature* -  Purab Kohli, Nandita Das, Rajiv Gopalakrishnan",2003-01-01,['Raja Menon'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0354405,"Rajiv Gopalakrishnan, Purab Kohli, Nandita Das",No,No,No
Tujhe Meri Kasam,['Romance'],Rishi and Anju are childhood buddies struggle to find out if they have more than friendship between them.,2003-01-03,['Vijay K. Bhaskar'],No,Yes,No,No,No,Yes,No,No,No,No,tt0348258,"Genelia Deshmukh, Shakti Kapoor, Riteish Deshmukh",No,No,No
Talaash: The Hunt Begins,"['Action', ' Drama', ' Mystery', ' Crime']","Babu works for three underworld dons and must go to prison to protect them. When his sentence is over, he returns home to find that Purnima (his wife), Arjun (his son) and Pooja (his daughter) live a destitute life. When he confronts his bosses, he is beheaded in front of his wife and children, and his daughter is abducted.  Purnima (Raakhee) loses her mind, and is hospitalized in a mental hospital. Growing up, Arjun (Akshay Kumar) becomes a high profile vigilante. As for Purnima, she becomes terribly ill and can be saved only if she sees her daughter again. Thus, Arjun decides to re-unite his mother and sister. In order to do so, he must discover the identity of his father's killers.",2003-01-03,['Suneel Darshan'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0338477,"Rakhee Gulzar, Akshay Kumar, Kareena Kapoor",Yes,No,No
Pyaasa Haiwan,['Horror'],A group of poor souls are trapped in a haunted mansion where the ghost-monster of its late masochistic/psychotic owner stalks the halls.,2003-01-08,['Kanti Shah'],No,No,Yes,No,No,Yes,No,No,No,No,tt4082968,"Randhir Singh, Kanti Shah, Sapna Sappu",No,No,No
3 Deewarein,"['Crime', ' Drama']","Three men are on death row. Jaggu (Jackie Shroff), a lawyer and a poet, is serving a sentence for murdering his wife because she was cheating on him with another man. Nagya (Nagesh Kukunoor), a man angry with the whole world, is arrested for murdering his wife too, but he claims that it was an accident where she falls off the sidewalk while they were talking. Ishaan (Naseeruddin Shah), a happy-go-lucky man, is also arrested for murder that he commits while in the act of robbery. The prison's custodian is Mohan (Gulshan Grover), who attempts several methods to reform the prison's inmates. A documentary filmmaker, Chandrika (Juhi Chawla) comes to the jail to set a film about these three men. In the process, she finds redemption to her troubled marriage.",2003-01-08,['Nagesh Kukunoor'],Yes,No,No,No,No,Yes,No,No,No,No,tt0338490,"Juhi Chawla, Naseeruddin Shah, Jackie Shroff",Yes,No,No
Aapko Pehle Bhi Kahin Dekha Hai,"['Romance', ' Action', ' Comedy', ' Drama']","A suspended cop ends up in Calgary searching for a criminal, where he falls in love with daughter of a successful Indian businessman and a protective father who takes a while to accept his future son-in-law.",2003-01-10,['Anubhav Sinha'],Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,tt0348521,"Sakshi Shivanand, Priyanshu Chatterjee, Farida Jalal",No,No,No
Dil Ka Rishta,"['Drama', ' Romance']","Wealthy Jai Mehta is a young man with a heart that has gold. He supports many charitable organizations in India and one day when he visits a deaf and dumb school, he falls in love with the teacher there, Tia Sharma, expresses his love to her and is openly humiliated when she introduces her fiancé, Raj. Soon after Raj and Tia gets married and are proud parents of a baby boy, Anshu. A heart broken Jai takes to alcohol and one night under the influence of alcohol, Jai's car collide with Raj and Tia's car mysteriously killing Raj and seriously injuring Tia about the head. Tia is treated by doctor, recovers but is unable to remember anything from her troubled past. Jai makes it his responsibility to take care of her, slowly she falls in love with him and proposes marriage. But will this marriage takes place or will Tia remembers her past and takes revenge from Jai for the death of her husband and for her current condition",2003-01-17,['Naresh Malhotra'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0330217,"Aishwarya Rai Bachchan, Priyanshu Chatterjee, Arjun Rampal",No,No,No
Jism,['Thriller'],"Kabir Lal is an alcoholic lawyer whose life is looking as if going down the drain. One morning he sees a stunningly attractive woman on a beach and is instantly enamored by her. By chance he sees her again in a restaurant and offers to buy her a drink. In the process he learns that her name is Sonia and she is married. Unable to resist, he asks her whether she would show him her home. It marks the beginning of a passionate affair, during which Kabir is told that Sonia's husband neglects her. But Sonia cannot leave him because she cannot support herself without her husband's money. Sonia suggests murder and Kabir, blind with lust, agrees. They manage to kill Sonia's husband and make it look like an accident, but then Kabir gets to see Sonia's other side: she no longer is the passionate lover as before, but is a cool-headed mean woman now who won't let go of her wealth at any cost.",2003-01-17,['Amit Saxena'],No,No,No,No,No,Yes,No,No,No,No,tt0348843,"Bipasha Basu, Gulshan Grover, John Abraham",No,No,No
Kucch To Hai,"['Mystery', ' Horror', ' Thriller', ' Romance']","A group of friends, who have a dark past, reunite at a wedding where a mysterious assailant tries to murder them for the sake of revenge.",2003-01-24,"['Anurag Basu', 'Anil v Kumar']",No,Yes,Yes,No,No,Yes,No,No,No,No,tt0348662,"Anita Hassanandani Reddy, Tusshar Kapoor, Esha Deol",No,No,No
Dum,"['Action', ' Crime', ' Drama', ' Romance']","Uday dreams of becoming a police officer and serving his country. His dream is accompanied by a fierce determination and drive to make his dream come true. Even as he courageously treads on his chosen path, he is confronted by the face of evil in the form of a crooked police officer, Shankar. But Uday soon meets with a television employee named Kaveri and once again finds his life upside down.",2003-01-24,['Eeshwar Nivas'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0314006,"Dia Mirza, Vivek Oberoi, Atul Kulkarni",No,No,No
Maqbool,"['Crime', ' Drama']","The Scottish tragedy 'Macbeth' set in the contemporary underworld of India's commercial capital; two corrupt, fortune telling policemen take the roles of the weird sisters, and ""Duncan"" is Abbaji, the head of a crime family.",2003-01-30,['Vishal Bhardwaj'],Yes,No,No,No,No,Yes,No,No,No,No,tt0379370,"Pankaj Kapur, Tabu, Irrfan Khan",No,No,No
Baaz: A Bird in Danger,['Thriller'],"In a small town, Nainital, India the police is on the look-out for a serial killer. All the killer's targets are of astonishing beautiful young girls; with an ulterior motive. Evidences found at the crime scenes are a dragger and a pair of rubber gloves. The three men under suspect are Mayor Jai Singh Dabral, DSP Harshvardan and a painter by profession Raj Singh; the problem is the police do not have evidence to incarcerate any of these men.",2003-02-07,['Tinnu Verma'],No,No,No,No,No,Yes,No,No,No,No,tt0349115,"Karisma Kapoor, Suniel Shetty, Jackie Shroff",Yes,No,No
Satta,"['Drama', ' Crime']","A liberal woman from Delhi weds a politician in Mumbai, only to find herself standing for election in his place when he is sent to prison.",2003-02-07,['Madhur Bhandarkar'],Yes,No,No,No,No,Yes,No,No,No,No,tt0341562,"Shri Vallabh Vyas, Atul Kulkarni, Raveena Tandon",No,No,No
Freaky Chakra,"['Comedy', ' Drama']","There has been an increase in movies falling in the genre of Indian-hinglish movies that are being made by young Indian directors who want to express their creativity through the medium of films. The making of such films bring a freshness to the Indian movie scene. That said, some of them lack a strong storyline and this happens to be failing of this ""Freaky Chakra"" too. ""Freaky Chakra"" is the story of a lady and the vicious circle of life that she leads.",2003-02-07,"['V.K. Prakash', 'Ziba Bhagwagar']",Yes,No,No,Yes,No,Yes,No,No,No,No,tt0356624,"Ranvir Shorey, Sachin Khedekar, Deepti Naval",No,No,No
Khushi,"['Romance', ' Drama', ' Action']","While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.",2003-02-07,"['S.J. Suryah', 'Sunil Kumar Agrawal']",Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0348656,"Amrish Puri, Kareena Kapoor, Fardeen Khan",No,No,No
Valentine Days,"['Comedy', ' Drama', ' Romance']",Three friends look to be the valentine of just one woman,2003-02-08,['Sumeer Sabharwal'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0358247,"Bobby Darling, Manoj Bidwai, Nikhil Arya",No,No,No
Escape From Taliban,"['Thriller', ' Drama', ' War']","Sushmita and Jaanbaz live in India, and they are in love. They intend to marry, but Sushmita's family is strongly opposed to the marriage, since Jaanbaz is a Muslim and they are Hindus. But Sushmita and Jaanbaz do get married, and Jaanbaz takes her with him to his country--Afghanistan. On the way there, Sushmita is horrified to see mutilated corpses, bomb explosions, and armed militants. She is terrified and asks Jaanbaz to take her back, but Jaanbaz takes her to his home.",2003-02-14,['Ujjwal Chatterjee'],Yes,No,No,No,No,Yes,No,No,No,No,tt0312664,"Manisha Koirala, Vineeta Malik, Nawab Shah",No,No,No
Love at Times Square,['Romance'],A love triangle emerges in America between two Indian men and one Indian woman. The two men fall in love with a young co-ed at an American University--who also happens to be the daughter of an Indian billionaire.,2003-02-14,['Dev Anand'],No,Yes,No,No,No,Yes,No,No,No,No,tt0345594,"Dev Anand, Heenee Kaushik, Shoib Khan",No,No,Yes
Kash Aap Hamare Hote,"['Family', ' Romance', ' Music']","Yashwantraj Mankotia (Om Puri) has brought up the daughter of his late friend, Amrita (Juhi Babbar) with love and affection as his own daughter. He plans to marry her to his only son, Randeep (Sharad Kapoor), who is settled in Canada. Randeep is reluctant to visit India to see his father, but does so when his father feigns heart trouble. Randeep is upset that he has to leave his business. He gets even more upset when his father proposes marriage with Amrita. Randeep reluctantly agrees to marry Amrita in order to get his father's inheritance. After the marriage, Randeep and Amrita travel to Canada, where Amrita finds that Randeep has a live-in girlfriend/spouse/business partner by the name of Simone (Saadhika).",2003-02-14,['Ravindra Peepat'],Yes,Yes,No,Yes,No,Yes,No,No,No,No,tt0352489,"Om Puri, Juhi Babbar, Sonu Nigam",No,No,No
Dhund: The Fog,"['Adventure', ' Thriller', ' Mystery', ' Horror']",A mysterious killer rises from the grave and terrorizes two couples to seek revenge for his murder.,2003-02-21,['Shyam Ramsay'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0353351,"Amar Upadhyay, Apurva Agnihotri, Aditi Govitrikar",No,No,No
Om,"['Drama', ' Romance']","Om lives in Bombay, India, in a small apartment with mother and sister. Om and his mother are of very conservative taste, when it comes to wearing clothes, however, the sister is not. This gets her in trouble, and she is raped and killed. The police register this case as that of a suicide, and produce a note purportedly written by her that blames her mom and brother for her death. Om's girlfriend, Sandali, comes to know that his sister's death was a homicide, and this sets Om off in a wild rage to find out who the killer(s) are, and why they would commit this heinous crime; and the role of the police who claim that her death was a suicide",2003-03-21,['Ashok Honda'],Yes,Yes,No,No,No,Yes,No,No,No,No,tt0358613,"Attin Bhalla, Smita Jaykar, Sandali Sinha",No,No,No
The Hero: Love Story of a Spy,"['Thriller', ' Action', ' Adventure', ' Romance']","Arun Khanna is a spy for the Indian government whose aid is enlisted to stop ISI Chief Ishak Khan. Khan is trying to build a nuclear bomb with which he can liberate Kashmir from the Indians. A battle of wits ensues. When Khan detonates a bomb at Khanna's engagement party to a fellow spy, Khanna's resolve is only strengthened. Now not only does he have to fight Khan, but he also has to track down his missing fiancee.",2003-04-10,['Anil Sharma'],Yes,Yes,Yes,No,No,Yes,No,No,No,No,tt0347167,"Preity G Zinta, Sunny Deol, Priyanka Chopra Jonas",No,No,No
